title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Netwitness-User Interface Senior Engineer,Data Engineer,RSA,"Bengaluru, Karnataka","Translates data into usable design solutions and leverages results to spark focused design efforts.
Performs a variety of data analysis techniques to surface…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tToZUFABJK1kWK7izg9M0254h-_qK_34saPI-ydNrJgrML9N5qhArpduhlaDZsLKxQFErgULM6iHlTGOrAKtKVLslKoPToEUZKgDTp5MXc4oaspjaIjzCCM4OeknTjasSK1L6Rul4u9hBo0KVdd1kWt92wCxIuBnk7arplQ4PIxs183grb9bzgqlzFlKaO-GITs2R9HnhYk2-MGyCFLFvCY02Y_szsgbfmGHimjFwk9HIRHW3JQltxBgLuHgIin3g5j3y8EesGQ7IG5NXdjJc54-H0AIT7GzO0bW7qXonHxoXvLTnDld1TYwGOoRCMN3uyQKKCbf2WiwdRtNUVV16QezHBsuc4-aWU1_Bk6F0yr3eaqJyyiQuADhItOKLTL0d3h_w4g_ZG10sp8mtSm08IuB2ZyuNLeu48kBrSqiPzBZAHxryqGJMUojwGzWH2TQbwMQtNwQzxmBqABj-NC4TC3p9ZZWVlgUDptY5gT8oKXeFSHSbekeNV8WLOO2py9QF_AgOxQfAypnbiqgbetupibVSz_YBB5Zc70T4A5GDQcIshPZU3wz42rJv8_PwePfBiLbmLvTZvKPGXUsEzz6s88sQkdZfYL4nLB7uiKBP6U9Dprp_y9_qqh4sMDSAf4lnkF1TsrnYZkgIlQL9QENrQe4Cq3xN-baQyPU6OoQwb590OF_vIcKJp4wJlsVaJRCSXtpR66AdEMFvw-BoD4aU-esjnfjgsziDaAiNh62_PAZIoQBd34jbR7x0HXTSFFArXRT-l48FF-RVE5jq6B1pv8bX0if4JXBPFjPbej6XNaQiC4WycJC-642_-aAF38JctlU86nG-e7YNxSBAqVkjMlUnuF7rXrq63UNLh8WXd4yKHo_EXgTZ7HIQ4Xt4-4gxMXdCOr4Kk2996hTrugnorL-894EMDKMVW9sYvgQNxOkn2yRhjd17SfZWj-ixk4PUmm6Jkm-zbwYk-Xh8Cf5BYuokbJFzDEdLIxPPHbFkNc-03DhGqgwbSpZe1YbflaRNb1FtCiMa2-HiIs6ev1HRsJb6RGish3FP05LtqunS9tBAorH7cH-7apn1qnfu5wjeXWPTiJ-Hg5OzmOENyzV4o3H3pAJIlykeIME7AHd09tOUohoeZKrEeEVd2eqnoQ3glcezrklhI64&xkcb=SoC8-_M3Lj6x0cQFph0HbzkdCdPP&p=12&fvj=0&vjs=3
Data Analytics Engineer,Data Engineer,NEAR,"Bengaluru, Karnataka","Developing and optimizing data pipelines.
Expertise in analyzing data and query authoring.
You will be a key member of the Research & Development team and will…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=34ddf66ad2425400&fccid=a089a346aa023259&vjs=3
Machine Learning Engineer,Data Engineer,Influetize,"Remote in Delhi, Delhi","Machine Learning Integration*: Utilize OpenAI's GPT-3 or GPT-4 models to fine-tune and embed user data to meet specific use-case objectives, such as lead…",EmployerActive 13 days ago,"₹40,000 - ₹1,00,000 a month",2023-08-30,https://in.indeed.com/company/Influetize/jobs/Machine-Learning-Engineer-2582d6d940b3401b?fccid=3fca696ca08eeb13&vjs=3
Sr ETL/Data Engineer,Data Engineer,UST,"Bengaluru, Karnataka","Good understanding of Database architectures and data models.
Good understanding of Database architectures and data models.
Education level: BE/B.Tech/MCA.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7e0b12be6809f6fd&fccid=810178099fb1fcbc&vjs=3
Data Engineer (Azure Cloud/ADF),Data Engineer,Gartner,"Gurgaon, Haryana","Build workflows using data from a wide variety of sources, including on premise databases and external data sources with rest APIs and harvesting tools.",PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7025007242115ad5&fccid=be293f1def77a963&vjs=3
Data Engineer,Data Engineer,Litmus7,"Kochi, Kerala",We are looking for aspiring data engineers and data scientists who have learnt data engineering or data science by themselves or are beginners.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7c278aa5688beff2&fccid=1d1984970b1ebe81&vjs=3
Dev Ops Engineer/Consultant,Data Engineer,True Data Software,Remote,"The company operates as a subsidiary of one of India’s most-extensive philanthropic platforms and has so far analyzed data from over 50K organizations, such as…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c36d9b1d24f41518&fccid=905889db10428b23&vjs=3
Data Engineer,Data Engineer,Vimeo,"Bengaluru, Karnataka","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Work with internal stakeholders to assist with data-related technical…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a574210cff9b4a6e&fccid=f84b0cf8a55bafa9&vjs=3
Data Engineer - Global People Analytics,Data Engineer,Boston Consulting Group,"New Delhi, Delhi",Collaborate with data analysts and data scientists to understand data requirements and implement appropriate data transformations.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=3d0ad4ca8c73d7b5&fccid=b95f9eb47968fa13&vjs=3
Senior Data Engineer,Data Engineer,BatchService,Remote in Remote,"Collaboration and knowledge sharing: Work closely with data analysts, data scientists, software engineers, and product managers to understand their data…",EmployerActive 2 days ago,?,2023-08-30,https://in.indeed.com/company/Batchservice/jobs/Data-Engineer-a032cd7b75222acb?fccid=6b7e3270f68d9ee6&vjs=3
Sr. Data Engineer,Data Engineer,Cubestack Solution Pvt Ltd,"Bengaluru, Karnataka","Fully conversant with big-data processing approaches and “schema-on-read” methodologies.
5+ years experience with the AWS and Azure data and analytics stack:…",EmployerActive 2 days ago,"₹6,29,311 - ₹20,12,971 a year",2023-08-30,https://in.indeed.com/company/Cubestack-Solution-Pvt-Ltd/jobs/Data-Engineer-d3435f93378b5ca4?fccid=4d76994fdb4c2d16&vjs=3
Netwitness-User Interface Senior Engineer,Data Engineer,RSA,"Bengaluru, Karnataka","Translates data into usable design solutions and leverages results to spark focused design efforts.
Performs a variety of data analysis techniques to surface…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tToZUFABJK1kWK7izg9M0254h-_qK_34saPI-ydNrJgrML9N5qhArpduhlaDZsLKxQFErgULM6iHlTGOrAKtKVLslKoPToEUZKgDTp5MXc4oaspjaIjzCCOBNjSYwOf3FiZXvpZgRQLLTKZ_P2sEUDpC3KejnERZcRNkkd6lqltT33HprpZgcbD7LCua2iEhPDYJq1LI5hgRPR3gXznA6lW0hsLPpcJSTQ7iR9vAHPazqi9IS0lVLhiqYA73N5bDx9GtFFYSCVtcKIi1ZWQ_qsiAov-Gsf6w9SdHkDH5AD0yg7ToojTYTMsFqbn2AQuPpsrJcNq8TvcF-ED8Te9IrDbqXMo7qvNEoygsoWDl0hrlrLGlZwUuf-crhZwG_xtXnLr6DVrsm_u8WDnXRjgsSAkW2aE8Cs3B8f0jGhtTql8mo4HlQ5luyk0X7K8zgAgTtMIMRqtrKPj7FQxhuuem0o2VggJ936WUvVQltqbJED9yT7Tr9B0zbshRpyKMYpXhKCaMPdUCP8uHZABlG1hTy24GqgXy36shmGcXzNToLK9cz-HHd3rc9ssKhFKNUiitzN4uFqFHXXVE-pECyokD6k-_6QnsTeP5LiZf1o24nXzr5VJF78gM8t0UgZjEKWx-Ijtvead-nk7hYBe3XphvTeLKYMV9HjbV-RMYX5hW4jQfwlR8x4AMbr3as3xLMXkcK-T2ERGNSPW-PGUJ7l3tYfQ5Yd52yandNtFuovgAyCOF5lMhgu5D-fyKMFBrgQpcYAzxlVoaJixZ5jEFc7XGNeHHW7gcqhSTI_a0Icp02hG6lTmL0MBdzUlEDbDg2-mTjZ_q5KFTtWEH3r4E-BLd8mTKAkIGvu5TxhYwxLQ7RvJSKcW52xRKboJL4xbUo7hXBugFLiJp2XZuAFXKCukx0gmW8iWwg5OCoyI5Zq-N_1aNedtftLK2yF3niWhmUvedUgdbly3PoYtFn3OmPPtdPF8fPe7_uE9LtCd9uCBgelsvguhsVwnP3y0v8nrTbckfxx9_BKqN1qGLauOA6Ai5J0ORuBgNeFN0l0uOu0Po_lKy1J_Rr64YWme52ojgBrhH25bC3RrBD8JZTlJUfKN_BFUC_2-FBZuBu31ScK48ybh0tmKg9L59JCZigJ61xfBL7XJfKPQXVSok&xkcb=SoBS-_M3Lj6w-2xGpJ0HbzkdCdPP&p=12&fvj=0&vjs=3
Sr ETL/Data Engineer,Data Engineer,UST,"Bengaluru, Karnataka","Good understanding of Database architectures and data models.
Good understanding of Database architectures and data models.
Exposure of working in Agile model.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7e0b12be6809f6fd&fccid=810178099fb1fcbc&vjs=3
Data Engineer,Data Engineer,Vimeo,"Bengaluru, Karnataka","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Work with internal stakeholders to assist with data-related technical…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a574210cff9b4a6e&fccid=f84b0cf8a55bafa9&vjs=3
Senior Data Engineer,Data Engineer,BatchService,Remote in Remote,"Collaboration and knowledge sharing: Work closely with data analysts, data scientists, software engineers, and product managers to understand their data…",EmployerActive 2 days ago,?,2023-08-30,https://in.indeed.com/company/Batchservice/jobs/Data-Engineer-a032cd7b75222acb?fccid=6b7e3270f68d9ee6&vjs=3
Data Engineer,Data Engineer,Saven Technologies,"Hyderabad, Telangana","3+ year experience mining data as a data engineer.
Develop, implement, and maintain data pipelines involving multiple data source and huge data volume.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=131ea35ea48b5960&fccid=6d23ac17333662f7&vjs=3
Azure data engineer,Data Engineer,Prajosh technologies,"Hyderabad, Telangana","Acquire data from primary or secondary data sources and maintain databases/data systems.
4+ Years of Hands-on experience with data modeling, database design,…",EmployerActive 5 days ago,"₹15,00,000 - ₹30,00,000 a year",2023-08-30,https://in.indeed.com/company/Prajosh-Technologies/jobs/Data-Engineer-29924bd6803cfbaf?fccid=234e36f44544e7c6&vjs=3
Data Engineer -Raptor Supplies Private Limited,Data Engineer,Raptor Supplies Private Limited,"New Delhi, Delhi","A data engineer is responsible for designing, building, maintaining, and troubleshooting data pipelines, including those that are used for data cleaning.",EmployerActive 2 days ago,"₹6,00,000 - ₹12,00,000 a year",2023-08-30,https://in.indeed.com/company/Raptor-Supplies-Private-Limited/jobs/Data-Engineer-aa270b1de2e983c1?fccid=a2c2011680bb6d82&vjs=3
ML/AI Engineer,Data Engineer,IIE Network,"Bengaluru, Karnataka","Collaborate with software engineers to integrate machine learning models into production systems.
Design and build scalable data pipelines to support knowledge…",Hiring ongoing,"Up to ₹36,00,000 a year",2023-08-30,https://in.indeed.com/company/IIE-Network/jobs/Engineer-30f843be01ba1430?fccid=6609afceff987ced&vjs=3
Data Engineer,Data Engineer,Manuh Solutions,"Bengaluru, Karnataka","Ensure the data quality and integrity in databases.
Bachelor’s degree in Computer Science or equivalent degree with a minimum of 3 to 5 years of working…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=e0035469d2142239&fccid=67f0069b6dbb0486&vjs=3
Data Engineer,Data Engineer,IDP Education Ltd,"Chennai, Tamil Nadu","Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.
Experience with Large Language Models.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=67ac52a005160c6c&fccid=5dea86b0d332a274&vjs=3
Data Engineer,Data Engineer,Reserve Bank Information Technology Private...,"Mumbai, Maharashtra","Expertise with data models, data mining, and ML techniques.
Building and maintaining the data systems for both structured and unstructured data.",PostedPosted 27 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=880691c3dedd4018&fccid=d7056cd7201280cc&vjs=3
Data Engineer,Data Engineer,Rapidera Technologies,"Pune, Maharashtra","Hands on python, RDBMS and data analysis tools experience.
Excellent analytics skill to understand and manipulate data tasks quickly or without much hand…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=5e73ecc04961ce9f&fccid=d16e616d7b1057e9&vjs=3
Netwitness-User Interface Senior Engineer,Data Engineer,RSA,"Bengaluru, Karnataka","Translates data into usable design solutions and leverages results to spark focused design efforts.
Performs a variety of data analysis techniques to surface…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tToZUFABJK1kWK7izg9M0254h-_qK_34saPI-ydNrJgrML9N5qhArpduhlaDZsLKxQFErgULM6iHlTGOrAKtKVLslKoPToEUZKgDTp5MXc4oaspjaIjzCCO0YK4toh9dPVruCZRlvkjax9D4o28ALNJE3dalCAxJgyud2KW9r7giXTGxF8-SHPGO-8ihY8uUdqiwUxr5xojsXDsJmuy1oLc-vwEkHq3NeydFl3nsviyOh6OzPG19PFZwT49oaeCsZuvaypfrsZIXd0FyKzhJQL5UUDZo7EvCldTVqvjMxNXRFB4o3edSDjOjfDEUFcT_KBUvH7xd1RmVQXP7laGOYZEZn8ux24KVAAcy0WOqubxE59WmRnCtzFus6Vn4x4hgJRlzoNWSZWbZWvvBZcxmVoKJRjIIsvHOPjf8K_FG4ktkUzzCiCx6EFBKawTTvRQNy93YdnXcuvORCejUnpfL4rdbU52IR6SZeBkM8SlYdxVnMMH97koZzYtoelU68e_b902uBp3Yb8hSH2hbjwykefOb9hClelgHrMes3gF8mEO36PJroONyJdl8jd3vCXCr_5KMAspJCv4_oya5d3L5-asjPNXqyibhUcKOIrlwzp_RZ0ke2-jdjEJskSaNB5T3IAjXT8MYUD6E1oEgayxLsDlOxtcquCeB7VPlpNArkxSnUjsFniiSpr5UDSThkVMcFBFPAcslnJEbqvNq7vtmsyHaZkSKRhzay1pQaTE1jNAY8Nmo88PnJ4L1N9rzk8AlFOHwy_Bc3yxPyf2ASwI_w-i75r-nzLahgpStqR_Fhp8jd4-E2qwn3nfHEZqFjKLPDG50RKxed2bRhJa8y5Q-pQNYT37zQLy7ORSpcSD16HID5SmkU7QCDIKGfXAQx7kGpcAoTCeD0A0W8WL0pgn0WPJVbtPZ36oYNPNdzg4qp9ZFjSHVvLWjie2GpkgUUxujIOGRnWSJUBKwP1OeWcy1mhcrYps_ikKskTQN0U0RVgujNb94Sz774eIrDgv36HdnLg1QULeSqsWl20W_D5H7eThCV8Lw81fMldjkat02VBf1a9f8yb0JXT_slnwI6LuIf-nFigssNq-lXxJ18a7nohpn3ke48SyUq2CbIhr9qNF2Xjq4QDgvMoGvKNST3tbKBy6r8S5UDJW-&xkcb=SoAk-_M3Lj7PhcAGE70HbzkdCdPP&p=12&fvj=0&vjs=3
Data Engineer,Data Engineer,PharmaACE,"Pune, Maharashtra","Developing algorithms to transform data into useful, actionable information using SQL and.
Performing root cause analysis on internal and external data and…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ac4d9e503a9fab80&fccid=ebdb3ec517b08da0&vjs=3
Associate Data Engineer- GET,Data Engineer,XenonStack,"Mohali, Punjab",Scalable and High Performant Data Platform Infrastructure that allows big data to be accessed and analyzed quickly by BI & AI Teams .,PostedPosted 18 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=d0eee712b572c492&fccid=98ef5f1ebbc3d261&vjs=3
Data Engineer,Data Engineer,savitr,"Hyderabad, Telangana","Implementation of data engineering solutions in Cloud environments.
Hands on experience in data engineering with Big Data tools and technologies.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=94bb7fdb23b5c912&fccid=4e68977a161a5652&vjs=3
Data Engineer,Data Engineer,Techtiera Sdn Bhd,"Bengaluru, Karnataka",Coordinate with business owners & data engineers to understand the requirements and lead the team to deliver the data pipeline capabilities.,EmployerActive 2 days ago,?,2023-08-30,https://in.indeed.com/company/Techtiera-Sdn-Bhd/jobs/Data-Engineer-631c99484ff9b047?fccid=b61face16f4785a2&vjs=3
Dev Ops Engineer/Consultant,Data Engineer,True Data Software,Remote,"The company operates as a subsidiary of one of India’s most-extensive philanthropic platforms and has so far analyzed data from over 50K organizations, such as…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c36d9b1d24f41518&fccid=905889db10428b23&vjs=3
Data Engineer,Data Engineer,Eclat Infotech Private Limited,Remote in Remote,Eclat Infotech Pvt. Ltd. is looking forward to hiring a Data Engineer who thrives on challenges and desires to make a real difference in the business world.,EmployerActive 3 days ago,?,2023-08-30,https://in.indeed.com/company/Eclat-Infotech-Private-Limited/jobs/Data-Engineer-90fb4e5d5aa59808?fccid=64cf8ddb65215633&vjs=3
Data Analytics,Data Engineer,Goavega,"Bengaluru, Karnataka","As a Data Engineer, you will play a crucial role in developing and maintaining data pipelines, ensuring the smooth flow of data across various GCP services.",PostedPosted 9 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=3c9dc25e5bb2f705&fccid=de475e243cce53b4&vjs=3
AWS Data Engineer with ML ops,Data Engineer,Gazelle Global Consulting,Remote,"Incident and problem management specific to AWS data, Machine learning services.
Position: AWS Data Engineer with ML ops.
Good knowledge of Data pipelines.",PostedPosted 30+ days ago,"₹65,547 a month",2023-08-30,https://in.indeed.com/rc/clk?jk=96d3843fc529310e&fccid=bc7ed5c50a2b6b9b&vjs=3
Jr.Data Scientist / ML Engineer,Data Engineer,AppsTek Corp,"Hyderabad, Telangana","2+ years’ experience working as ML Engineer.
Knowledge of R, SQL, and Python.
Understanding of machine-learning concepts of supervised, unsupervised,…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=2b8ca77b5cf3ca30&fccid=da305d837b5f2266&vjs=3
"Data Engineer, e-commerce solutions",Data Engineer,Mastercard,"Gurgaon, Haryana","3-5 years experience in data management, data mining, data analytics, data engineering, data product development and quantitative analysis.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=9692569ae894748b&fccid=10b5c722d846df43&vjs=3
Data Engineer,Data Engineer,Ontic Technologies,"Remote in Noida, Uttar Pradesh","Full-stack design, development, deployment, and operation of core data stack including data lake, data warehouse, and data pipelines.
And we have fun doing it.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1878bfe1ec91e8c0&fccid=dfc7c01c5e666bcb&vjs=3
Netwitness-User Interface Senior Engineer,Data Engineer,RSA,"Bengaluru, Karnataka","Translates data into usable design solutions and leverages results to spark focused design efforts.
Performs a variety of data analysis techniques to surface…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tToZUFABJK1kWK7izg9M0254h-_qK_34saPI-ydNrJgrML9N5qhArpduhlaDZsLKxQFErgULM6iHlTGOrAKtKVLslKoPToEUZKgDTp5MXc4oaspjaIjzCCOZRpjuGEfbyx0Cba2p9KK9gyuByaOJUwDERDKl2ARJ9V2IcOKr7HXh7SlyWLk1uATdkuVGUb1pXuP1qPqiZlQIQVPu9d9d3EcUj2HsI3FWUT8cXBDVOfqaihMrITKEqeOnqanKZ86nbVaB9St6wZN1muEoXBtzUlqqBm31Qc0aVIPumH9MPqpY1tmi6TR9_t3p66HkoVIIdrmrfhqTiTgfIZ44HPig11IbF3uiiPyHMgCjTOyyyAU2wlQVyRRm-QtMVXUQwsm1Lu9J_GCwCa-e2VqrMg6mwPowIevGuzS7drXV431li4LtrXO8EB02rwu6VtRnWcOlkiiZy3cmaMIg5aCiyBZyXXop3FLW4cenm2f70_vEYzKL5t5xt_XVonHzMnGLkSK6f53Fip6EuXIV_akk33sWGLvqwqSXdZDXC27ykEGy1m8ngkfgCEcX9OFWjLD1FOuHL4XPzzBqWool9seFUe1ZLQYYlHxwQ45kSvZUYCSRtzpAc8b52X04gzwwmpRD5U-vew2lxOjsZIRAzOtQO3qbMCmYUWjFsum5azKJrshoL_TgnyhlBKOxGQPI6csv1rXIzHjY3yt4BpeEOv0y8k0IDYd-1S6_qVPp0eAY6QZmdhiMomYDaSp51D52VQ1gdXrcKR-Ef0TZ07Zj43hHb1gx3bLcbjI3jPmcvf3hB6gBVo4vaDE4rcWUD2HJ2-jSUMYXri8H-IewcrWeBixsk5IVoQC8jpM59KkhbkMysQwhDv9zigV5DNeEk1JjXZnsUDTnGfUWAlaJkPh6F1cR7_hxSXzoKZqElJLV_lzgUwGMokKp9pOCjTk81vx3-zOmCfILkJrFsFWiigNZVx4If-OxaB_UaPnEGdT28g30YR2nvDGuxTjCamb7wrNhpQYP7JCRwS1F4vJE_LoLSa64PDHOEYjAWJMB-MfJ46JaiqMczhumFCLMZCBPaugA8iBbAZppjtWl5iJypRSEUq32h3ntRPbGYkisf6iyK9ULWK-fsKQUAGF041nUwjOO33lrKVlATXbEqC7IRBaK&xkcb=SoBg-_M3Lj7OrOQNAh0GbzkdCdPP&p=12&fvj=0&vjs=3
